record_id,Id,CreatedAt,UpdatedAt,user_id,title,start_time,end_time,category_id,status,type,parent_id,tags,checklist,note
04df9a7b-19cc-4a26-b86b-52b4a4b97ff3,1,2026-03-18 17:52:55+00:00,2026-03-21 01:00:35+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,чищу зубы,2026-03-14 21:57:32.989+00,2026-03-21T01:00:34.915Z,,stopped,record,,,,
0b89c4a7-51d5-455a-894e-b46cc346a52d,2,2026-03-18 17:52:55+00:00,2026-03-21 01:00:35+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,вайбкодинг,2026-03-16 11:32:41.284609+00,2026-03-21T01:00:34.915Z,vibecoding,stopped,record,,,,
0DEdx10ctEPSdg4Nu6RR,3,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,ASTRA Planning,2026-03-01 14:30:21.657527+00,2026-03-01 16:01:27.655+00,,completed,record,,,,
0dMrKxugPPD1lJeO9Vlu,4,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,ball office products images upload,2026-03-13 17:15:13.039+00,2026-03-13 17:16:27.948+00,,stopped,record,,,,
0p3QYRKbdLCC2aoFqqyu,5,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,OURARING ADD,2026-02-25 05:08:00+00,2026-02-25 05:12:00+00,,completed,record,,,,
0siHSUDqQSj6XNM4weLc,6,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,приготовление ко сну,2026-03-04 19:00:00+00,2026-03-04 20:59:00+00,,completed,record,,,,
0UNQ4XY93OLHU1RjzwpZ,7,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,Astra draw,2026-03-02 16:53:06.010152+00,2026-03-02 19:51:05.155+00,,completed,record,,,,
0uP0uNhiwA0QeUOHr62a,8,2026-03-18 17:52:55+00:00,,ae3dd65a-557c-4465-b095-260fd1922e26,экскурсия красная поляна,2026-03-10 07:20:15.197099+00,2026-03-10 15:27:59.904+00,,completed,record,,,,
10d9587a-19a6-42eb-a5c2-4077c9702f48,9,2026-03-18 17:52:55+00:00,2026-03-21 01:00:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,туалет,2026-03-16 21:19:38.676796+00,2026-03-21T01:00:34.915Z,toilet,stopped,record,,,,
11af6a76-1ed7-4eb4-9f94-aed54926a2a3,10,2026-03-18 17:52:55+00:00,2026-03-21 01:00:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,сон,2026-03-15 20:16:25.032764+00,2026-03-21T01:00:34.915Z,,stopped,record,,,,
142ce8c0-c28c-4617-81e7-4c6a0e66e897,11,2026-03-18 17:52:55+00:00,2026-03-21 01:00:36+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Resicum international call,2026-03-16 19:00:00+00,2026-03-21T01:00:34.915Z,client_resicum,stopped,record,,,,
15d15174-7ec8-4c86-a2c6-afd247b7fe5e,12,2026-03-18 17:52:55+00:00,2026-03-21 01:00:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,вайбкодинг,2026-03-16 08:40:53.556907+00,2026-03-21T01:00:34.915Z,vibecoding,stopped,record,,,,
16d56113-5b93-434d-90e2-7002647ec683,13,2026-03-18 17:52:55+00:00,2026-03-21 01:00:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Price Reporter planning,2026-03-16 13:31:00.988+00,2026-03-21T01:00:34.915Z,planning,stopped,record,,,,
1773734708049_35ueqd,14,2026-03-18 17:52:55+00:00,2026-03-21 01:00:37+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Astra call,2026-03-17 07:30:00+00,2026-03-21T01:00:34.915Z,astra,stopped,record,,,,
1773734754998_tn234v,15,2026-03-18 17:52:55+00:00,2026-03-21 01:00:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Etnika schet,2026-03-17 08:05:54.702+00,2026-03-21T01:00:34.915Z,etnika,stopped,record,,,,
1773734800621_571odh,16,2026-03-18 17:52:55+00:00,2026-03-21 01:00:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,vibecoding,2026-03-17 08:06:40.309+00,2026-03-21T01:00:34.915Z,vibecoding,stopped,record,,,,
1773738857534_82ghtl,17,2026-03-18 17:52:55+00:00,2026-03-21 01:00:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Atozed Clients,2026-03-17 09:14:16.768+00,2026-03-21T01:00:34.915Z,atozed_clients,stopped,record,,,,
1773745214189_9izevq,18,2026-03-18 17:52:55+00:00,2026-03-21 01:00:38+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Atozed Website,2026-03-17 11:00:13.518+00,2026-03-21T01:00:34.915Z,atozed_website,stopped,record,,,,
1773762786015_5b6pqb,19,2026-03-18 17:52:55+00:00,2026-03-21 01:00:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,LAREDO TS,2026-03-17 14:00:00+00,2026-03-21T01:00:34.915Z,client_laredo,stopped,record,,,,
1773763461618_7gpz04,20,2026-03-18 17:52:55+00:00,2026-03-21 01:00:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Ужин,2026-03-17 16:04:21.233+00,2026-03-21T01:00:34.915Z,food,stopped,record,,,,
1773764538759_pwe4q5,21,2026-03-18 17:52:55+00:00,2026-03-21 01:00:39+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,LAREDO TS Plan,2026-03-17 16:22:18.349+00,2026-03-21T01:00:34.915Z,client_laredo,stopped,record,,,,
1773768161129_j0cskn,22,2026-03-18 17:52:55+00:00,2026-03-21 01:00:40+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,CHAPEL HILL,2026-03-17 17:22:40.585+00,2026-03-21T01:00:34.915Z,client_chapel,stopped,record,,,,
1773768194441_opmktq,23,2026-03-18 17:52:55+00:00,2026-03-21 01:00:40+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,chapel hill,2026-03-17 17:23:14.084+00,2026-03-21T01:00:34.915Z,client_chapel,stopped,record,,,,
1773768859800_gp9m6r,24,2026-03-18 17:52:55+00:00,2026-03-21 01:00:40+00:00,ae3dd65a-557c-4465-b095-260fd1922e26,Saitech EPA,2026-03-17 17:34:19.445+00,2026-03-21T01:00:34.915Z,client_saitech,stopped,record,,,,
